Tahun,jumlah
2010,2255
2010,6494
2010,24092
2010,2866
2010,1586
2010,3801
2010,8281
2010,3922
2010,5637
2010,3867
2010,4879
2010,4761
2010,9955
2010,6091
2010,1710
2010,8512
2010,6534
2010,8097
2010,2471
2010,2795
2010,3377
2010,2968
2010,1836
2010,2547
2010,3100
2010,1392
2010,1847
2010,4738
2010,1742
2010,714
2010,886
2010,1119
2010,813
2010,681
2015,2497
2015,6954
2015,25842
2015,3257
2015,1736
2015,4092
2015,956
2015,4162
2015,713
2015,1007
2015,5115
2015,23681
2015,16750
2015,1818
2015,19053
2015,5458
2015,1966
2015,2187
2015,2333
2015,2251
2015,1156
2015,1841
2015,1880
2015,1161
2015,1354
2015,3929
2015,1125
2015,523
2015,583
2015,778
2015,533
2015,404
2015,1515
2020,2728
2020,7335
2020,2741
2020,3654
2020,1875
2020,4352
2020,1028
2020,4359
2020,789
2020,1141
2020,5324
2020,5265
2020,7320
2020,1921
2020,19172
2020,6097
2020,2091
2020,2345
2020,2536
2020,2439
2020,1302
2020,2022
2020,2138
2020,1230
2020,1469
2020,4161
2020,1256
2020,567
2020,643
2020,850
2020,593
2020,459
2020,1661
2025,2933
2025,7632
2025,2874
2025,4041
2025,2000
2025,4567
2025,1093
2025,4504
2025,863
2025,1268
2025,5504
2025,26645
2025,17809
2025,2013
2025,19693
2025,6700
2025,2206
2025,2488
2025,2744
2025,2610
2025,1449
2025,2184
2025,2395
2025,1289
2025,1579
2025,4364
2025,1386
2025,610
2025,705
2025,923
2025,651
2025,516
2025,1802
2030,3110
2030,7847
2030,2981
2030,4413
2030,2107
2030,4736
2030,1149
2030,4595
2030,932
2030,1395
2030,5629
2030,27789
2030,18182
2030,2090
2030,20061
2030,7238
2030,2309
2030,2611
2030,2955
2030,2756
2030,1589
2030,2325
2030,2644
2030,1336
2030,1680
2030,4531
2030,1512
2030,650
2030,767
2030,993
2030,707
2030,573
2030,1931
2035,3264
2035,9903
2035,3062
2035,4770
2035,2196
2035,4864
2035,1195
2035,4640
2035,995
2035,1529
2035,5690
2035,8688
2035,18391
2035,2153
2035,512
2035,7701
2035,2398
2035,2712
2035,3167
2035,2874
2035,1718
2035,2445
2035,2879
2035,1370
2035,1769
2035,4655
2035,1631
2035,685
2035,3827
2035,4058
2035,6761
2035,9628
2035,10044
